material,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
15,18801.67,27350.92,7765.17,11054.01,66782.2,110865.68,22554.39,68051.7,42447.56,50128.31,81501.35,177845.32,2854.73,61576.19,76726.96,67178.37,12827.78,17292.25,59575.11,99059.25,62422.78,38095.98,65781.12,35345.87,133003.02,219772.33,101183.71,14247.68,35213.16,9013.37,50061.22,102878.39,166963.94,91965.88,3436.89,25372.89,21447.97,21599.23,41411.97,39556.92,47830.85,40144.68,12450.57,33801.87,78510.86,20920.4,54371.33,51231.98,27214.98,47453.01,16900.98,46543.09
16,28311.8,17866.95,82421.35,91987.35,54577.81,69777.11,93101.33,25467.52,88790.13,46345.94,59917.29,49464.51,68356.9,38692.49,41282.18,114659.54,22578.7,25426.18,12205.59,76495.94,18148.58,35360.32,16152.58,43194.34,89460.9,51665.25,27677.46,16001.59,29178.32,23188.24,77080.04,40230.26,59769.03,56210.68,6603.67,30152.61,29959.14,98667.92,112282.81,26817.7,47376.46,8442.12,68974.57,74561.5,56183.37,17856.08,47725.99,85310.3,76676.36,207259.85,41278.15,33473.48
17,111860.9,52433.27,51569.9,38515.04,73329.36,17401.12,87845.12,69095.65,13482.22,42373.81,86201.17,20293.86,81362.96,33045.18,108785.13,15693.46,88133.71,44355.83,37248.97,54607.81,8690.44,3033.18,16575.15,81547.86,42011.56,117089.33,109300.67,31903.89,12995.91,51052.11,74097.15,15653.18,61845.19,42598.19,14939.99,21155.95,104611.18,14226.32,29778.67,24053.29,32460.16,13448.26,51908.42,38096.77,23865.96,47264.52,7013.53,35845.14,22291.6,5454.89,98611.48,22237.15
18,131601.78,36308.32,142896.11,8589.04,94940.49,169121.71,52703.65,79028.14,91245.84,92011.82,62120.34,52435.35,56188.85,87569.46,21472.02,96306.66,38809.17,16226.89,14595.99,39145.94,65364.21,51787.57,86257.83,62645.51,34260.62,1441.23,34915.28,54855.08,11538.22,30602.41,36646.69,2447.21,39166.13,8518.47,62351.71,4646.47,35535.54,17751.86,39701.24,15068.06,18397.84,56811.26,80887.66,31695.23,48453.28,23386.29,20028.97,75272.98,38044.61,36904.87,3679.0,37610.83
19,21376.11,87841.87,30873.1,71768.48,7375.27,96443.48,34905.72,31983.12,73063.86,42252.87,16030.2,100914.27,72620.38,12774.69,47299.78,95217.23,91262.12,48330.29,17489.72,140379.22,50057.35,8504.73,50056.62,42704.01,115794.59,24323.01,57581.68,36028.63,87836.82,18841.38,48464.88,69242.85,8007.08,33658.94,84564.75,10339.63,43132.8,29452.61,63670.94,55338.52,12599.71,97985.96,96309.44,38381.1,28344.39,27572.87,39251.33,38382.94,33928.37,30645.53,15612.53,57713.23
20,45021.72,31995.93,40942.03,10408.4,74141.55,60626.37,79911.3,41039.32,65227.25,27751.0,50297.41,85835.87,9510.09,31801.19,23499.31,54653.5,18423.59,32696.35,42170.01,74641.02,69978.28,43133.25,53745.87,32110.29,72653.5,29791.75,31585.76,72537.82,28656.77,5328.84,5085.65,70159.98,25533.4,25292.13,22625.87,29385.13,15055.18,42661.24,9280.75,52787.4,29853.6,3008.95,22329.22,40587.79,49819.79,12919.99,136765.83,54657.36,46679.18,68377.74,47769.88,47208.94
21,2076.25,34877.45,49550.93,17249.11,64378.09,26109.9,3548.0,35094.44,32437.45,17318.78,93760.91,49690.42,11042.07,113396.62,7777.4,112080.25,19801.1,2645.46,57314.16,12379.05,11848.62,37830.03,15370.91,94739.97,24226.94,25212.81,36698.77,19500.06,11504.06,27414.92,61358.52,67307.08,24484.4,39514.54,14040.98,5879.81,16484.34,18340.66,4383.7,27501.05,32627.37,69089.45,20497.57,21543.24,8124.63,100361.74,46543.48,109540.59,26375.79,44552.24,111708.82,68084.43
22,63731.95,31788.19,50283.45,107182.76,18218.8,37644.65,101925.02,189985.08,53007.12,22413.01,45188.72,90391.98,24730.59,6156.03,38834.49,45639.96,10148.54,28628.1,52480.66,38294.58,40716.08,45522.47,107603.99,73858.21,43153.36,119624.87,88550.46,40533.69,70070.58,42110.38,51084.45,27956.96,37694.38,64381.92,118913.29,103125.12,115440.66,10010.51,80466.64,39798.7,13237.32,44651.38,96705.83,29753.73,34576.52,35692.85,28611.75,68644.31,52172.38,36394.58,76247.75,29351.85
23,15299.21,46017.69,66524.4,19870.37,113033.0,14115.62,20851.55,50691.49,39320.8,26892.0,186554.77,27257.92,29848.68,9420.26,73337.99,32971.18,55548.89,54780.56,92494.63,195885.0,43408.3,88630.66,48237.39,16434.72,263046.35,150787.75,42385.03,89584.95,150588.36,55169.37,71613.86,87253.06,19397.56,63703.03,41966.46,88261.33,4683.31,56805.06,12033.19,94034.74,90984.22,77257.27,63447.04,21720.75,38391.8,61133.32,33951.56,65577.13,18406.78,60233.08,33385.01,70390.4
24,62411.06,72557.29,32313.29,25357.69,50252.93,13614.37,36448.46,14289.56,42262.77,14465.9,5919.78,11421.75,31424.72,141941.76,30761.06,79656.13,139052.54,11598.0,7384.76,14068.18,63926.41,43365.07,52540.96,110802.65,95660.85,6026.42,104400.25,36112.24,25408.17,20635.82,20798.43,41058.69,90998.34,141917.98,38819.08,14562.32,30328.66,84065.95,146872.87,24541.68,27223.49,49215.61,7246.34,38763.61,24284.43,31281.52,28167.57,30460.01,81747.79,33442.0,93322.68,36243.18
25,12622.75,7952.35,128379.44,64882.76,44067.38,142686.41,26855.25,47467.33,24705.56,81049.43,92206.96,33637.71,28252.65,104595.7,48306.63,41693.97,38378.71,13948.52,183614.03,50109.54,90120.15,83222.77,45197.04,14574.74,131271.87,36914.81,103948.44,28651.08,28781.53,21241.57,74177.8,35654.99,19637.51,36001.28,170783.15,108821.49,42469.99,25686.21,18659.36,36091.37,55884.9,15286.7,38743.01,26367.96,99381.82,30815.51,13821.34,20601.79,15355.82,30843.44,17959.4,71497.03
26,67314.62,68076.4,15819.87,9818.11,93838.47,29221.12,13853.48,51571.51,40709.23,62489.87,13925.63,28318.78,50006.54,25870.27,55468.76,75343.86,89387.26,46571.34,32275.66,66005.24,11857.11,73146.32,74481.67,50881.87,67241.89,21788.51,53762.71,58070.08,48553.09,18075.44,76542.48,92156.62,18425.69,29248.26,49968.24,40889.46,30118.58,87262.78,51263.31,34002.89,32024.95,16311.0,22305.35,31836.13,27859.7,83456.4,48820.76,31682.54,25455.74,28632.49,37383.31,124357.94
27,122606.58,13207.48,8561.26,78151.06,7706.43,43797.71,77996.08,50075.26,20392.33,49996.43,39570.24,109522.62,30171.0,16593.74,29555.21,85987.28,35647.16,49880.36,29216.55,67575.6,42205.31,69130.98,45080.95,36123.63,25062.15,39928.4,40813.93,6939.18,69759.62,62780.05,39480.28,22522.13,7317.76,19574.61,32235.19,52503.14,58678.73,8399.26,8143.63,50707.23,50694.96,113616.82,55513.12,12667.58,11340.92,20576.0,50282.15,70803.09,34558.93,17978.13,102186.17,120964.2
28,53286.35,57522.16,16112.21,18309.11,56845.58,36630.81,42009.43,26863.22,63197.45,11685.04,24919.4,5469.22,16741.14,48961.13,31738.85,32979.42,52880.18,50682.06,30310.77,29773.6,12263.35,35703.31,11834.3,34081.54,21462.18,110757.77,28433.9,15912.25,108206.33,72623.61,74574.45,69787.72,59253.24,85546.03,178073.84,71661.63,22960.51,10342.9,26741.56,22875.61,12384.67,12158.34,41879.43,41279.8,70391.93,34800.71,14478.21,40878.08,48039.84,47212.11,10367.0,11229.41
29,45463.9,34396.67,9775.56,10569.85,24370.78,93177.07,110872.84,21330.33,88939.72,55459.61,19592.39,54885.73,27177.79,16681.48,42479.7,91025.2,59265.36,16778.12,52834.33,2631.63,2680.45,123000.43,38798.64,58571.45,57836.34,40511.16,25460.98,18769.96,139127.76,26396.56,12085.6,58707.86,16654.45,47060.98,52353.23,127055.87,73135.33,30777.39,123948.92,190974.74,118947.45,20204.25,95410.99,104432.52,154331.64,125065.84,68452.34,32409.14,59596.83,8251.02,65687.3,34151.39
30,27357.19,36403.66,116021.03,93048.08,25112.59,69194.28,68829.73,71688.4,48661.67,55018.98,51466.38,94001.99,37737.4,6809.33,65567.18,98104.65,74348.75,60014.17,48143.0,133599.99,43536.09,64845.9,30974.83,52978.58,25552.73,20711.83,22417.3,39868.75,62581.19,52421.8,72936.98,92097.56,32813.79,104026.61,54125.94,16339.48,88412.26,74964.73,49873.26,11797.68,18257.91,36524.08,37308.42,27362.74,29023.7,20841.65,63866.45,7976.23,74537.05,10763.47,61575.29,106460.2
31,52919.45,23733.44,34669.69,123298.95,17279.06,112777.38,80284.88,9973.05,41195.21,40438.68,64187.8,61467.01,81649.73,19664.63,73093.36,31069.79,6716.04,36511.89,57971.1,13018.75,53800.33,21824.32,36215.06,42837.75,16519.04,3451.95,11699.53,55707.43,38732.2,116200.73,50455.37,42353.01,47799.65,77155.49,41158.55,74358.75,9501.93,49612.4,24529.07,53432.81,23518.97,150809.28,22016.28,44067.72,62635.78,15972.18,73613.66,15817.77,38389.05,117895.34,155580.32,53343.46
32,80425.52,20370.72,57332.96,18147.64,104946.46,78519.98,19755.86,8827.99,15302.72,48172.93,123165.53,58452.43,28959.05,99825.44,48686.83,55684.37,14798.18,31471.53,61467.23,76072.5,28216.42,45598.55,78756.01,6379.67,14625.56,64290.01,49330.53,58483.42,31090.7,78403.22,44074.58,142151.37,43696.58,32647.4,50699.39,55675.33,43524.21,22403.25,41556.8,46001.89,31016.39,51124.21,54739.86,31876.46,5355.7,53624.93,113771.17,53046.31,66578.64,52092.01,40438.07,31284.19
33,9492.17,50009.11,17996.97,11704.84,72160.43,35576.3,65966.06,29381.39,9699.3,51871.48,23787.09,25388.91,5832.98,13192.12,51042.49,87337.71,156515.58,93116.71,23662.08,24488.06,8663.37,95626.52,31118.91,66575.38,27451.54,60906.93,37492.45,48274.92,37850.47,140430.08,59809.22,8386.14,81348.49,14831.12,22989.82,56712.56,61026.86,45111.13,35984.94,40968.7,80157.43,14029.24,19127.02,37763.38,77752.55,7668.82,8939.59,41209.02,15095.25,34128.26,113515.86,44981.59
34,9713.47,44399.92,95277.63,31859.83,82403.02,25801.27,87951.19,21469.67,113136.74,19559.82,64968.88,65916.94,84280.94,47545.4,29594.57,12597.98,137735.24,27897.07,19849.37,18606.25,105224.02,45887.47,69619.89,162462.54,156460.63,9388.7,89321.15,4764.14,37161.24,129207.48,53238.41,61908.93,12886.1,34247.82,27710.05,20443.31,72175.85,27889.3,35155.93,54612.19,5424.36,93289.93,23904.45,41919.0,19676.26,26111.52,89776.84,36389.09,106900.42,67308.2,20915.46,29168.53
35,26946.69,6768.76,11184.69,37031.4,25735.4,54905.73,59347.65,40440.14,57079.81,39607.88,37490.27,38659.3,20371.55,37560.95,30383.42,43876.21,17034.66,22153.51,13591.83,55308.12,81347.56,56429.35,62198.67,17854.84,80137.11,58547.91,80908.84,10217.26,52055.24,45438.6,14581.45,85035.72,12159.12,9278.47,89254.33,36410.04,44834.19,32485.86,16139.04,19283.91,41753.69,26721.12,62601.32,10097.11,22154.3,33863.59,37221.92,34434.75,54165.44,29629.12,47480.4,25849.01
36,21545.67,17772.05,59635.38,26975.38,52432.83,109362.88,100798.31,39195.71,78733.97,15082.79,28050.74,145724.82,58412.68,41392.71,80166.0,39778.01,105803.06,74462.09,45182.04,50465.44,32204.82,49552.95,27476.85,6633.39,54748.72,19502.08,51739.43,17004.27,109741.9,35862.22,64676.41,28282.42,35003.75,51630.18,39315.33,81885.5,59196.97,40626.61,23906.58,70010.9,18934.27,32689.1,66018.4,84138.65,143142.47,17930.62,108765.54,108929.36,4086.42,17416.71,55116.82,33053.51
37,53583.32,49478.98,7453.88,48870.29,22488.73,37703.86,39011.75,42103.83,37253.19,59113.06,30048.1,36566.17,75166.35,43115.49,21092.47,43782.27,23197.92,44131.26,45064.5,57458.87,15593.73,91499.52,62887.27,113712.05,114700.04,28455.99,76758.21,30953.34,92381.86,31688.34,55702.33,89821.78,19929.35,39127.23,26496.75,48969.36,49138.15,21692.35,17681.1,87048.19,27178.16,74308.98,22637.45,92399.8,15791.26,87147.22,1474.39,22154.68,33196.42,39966.11,14998.27,6477.46
38,5586.04,24527.54,56568.2,98200.95,18170.97,28556.08,19285.09,33217.42,20670.88,124590.91,23232.6,21157.58,69657.78,30111.26,20956.63,35692.7,25511.25,99604.86,22446.83,28072.01,10627.04,81257.11,44197.1,128609.9,42396.33,19991.25,17723.18,73112.65,68530.04,63677.26,33514.31,5854.48,36856.41,13836.54,71459.63,85701.57,7535.42,29253.5,32275.83,32587.67,37742.17,52626.96,35889.21,17016.66,61971.36,9475.1,62566.84,30797.6,77759.35,35986.97,61555.52,73383.07
39,30496.83,116612.88,26451.19,47715.53,40738.85,23414.75,71482.03,52548.69,131489.59,163177.79,162505.82,32543.75,67062.79,88193.36,31781.87,79979.64,109741.37,20495.71,34008.37,57087.16,20219.27,200802.03,70871.23,100384.68,88933.35,25480.51,50685.53,10798.51,75791.53,48689.83,4314.07,36504.95,155212.38,20827.6,27966.72,68990.99,42728.18,19408.5,50576.43,194273.39,33873.68,23206.6,91658.07,26330.66,79113.59,43019.05,80831.15,90092.33,77611.29,198707.65,16097.75,49184.01
40,19655.18,31484.13,38271.23,21265.16,30556.56,53127.87,20435.01,20880.97,22248.97,36624.24,21746.61,65176.6,42556.7,36847.57,11323.3,54982.07,44035.1,97755.26,78243.99,44516.46,84344.51,56975.0,130888.55,92882.19,19974.22,68521.96,46917.66,27604.17,11089.92,138165.33,20530.98,41313.85,59033.21,10230.03,45518.41,42372.29,17251.65,33077.97,80988.37,6475.16,36200.62,8895.54,31289.97,115359.03,28048.83,13710.63,36210.15,47368.62,29502.87,19186.09,121914.0,20093.3
41,27311.37,21795.11,14482.9,21111.92,39405.18,32700.36,20338.07,122808.79,32147.22,107489.81,103094.41,136835.17,116937.33,105979.43,69900.3,100185.63,34554.96,17535.72,40201.78,73258.66,49061.54,37314.35,66118.65,29840.97,210301.43,67568.4,84837.23,4172.73,26048.5,24434.7,184475.43,103881.71,54971.02,113579.63,65976.98,25340.97,68453.98,17969.25,39819.1,52479.91,33275.39,19260.77,49150.33,11793.42,71369.7,47285.35,124713.67,22239.51,24977.04,20954.7,8055.67,22822.41
42,39741.06,50498.83,21388.94,11601.03,15153.71,59690.83,88365.05,59390.47,17858.68,53616.67,20319.77,32861.06,4518.35,25099.63,37373.56,17726.49,23326.82,46976.25,62449.87,5477.39,30310.92,128679.41,27032.31,24923.32,41859.79,50454.19,18728.37,24623.03,59246.86,25925.7,40927.28,64660.85,16066.17,13982.37,54654.64,14227.9,27421.21,12926.47,87168.04,7270.44,37094.81,17330.65,35315.18,126633.92,39557.23,24605.62,28690.16,34085.78,86972.37,36699.48,29692.52,20430.46
43,56987.68,137149.82,42051.19,45677.17,20714.29,41200.98,76397.94,67003.4,95611.99,66049.28,67841.79,22037.65,183661.94,100211.12,25684.29,102868.42,14424.45,46280.28,20697.44,60503.8,11530.95,46900.78,76308.12,45071.3,242267.75,56388.27,59383.97,38467.81,47874.83,81853.34,62443.03,53342.18,142707.88,97575.98,36728.06,44606.09,136830.63,23642.94,63380.45,28097.98,76031.82,74188.41,37366.56,37615.65,51287.64,106059.55,23764.34,69336.59,27417.24,10191.07,16419.7,93074.81
44,59839.85,42961.33,27643.23,48730.08,35603.63,80292.59,25775.16,121383.24,23558.69,49456.9,63782.19,23837.26,147336.19,52478.25,54444.97,26717.12,68812.59,20534.42,116610.09,17202.0,255067.82,60928.57,91092.99,10275.29,52275.69,36291.74,15156.14,56185.12,21373.77,37920.16,12464.19,44807.42,48470.1,30827.97,36312.0,43058.58,89082.87,58613.96,64953.9,10598.44,71566.9,74890.88,54649.21,8719.18,51467.72,18846.4,41946.48,30564.76,123129.4,57064.79,15138.53,18666.97
45,64187.3,66627.11,47253.9,48244.21,43523.38,5558.26,10445.77,22341.77,76741.54,78224.0,51851.94,47373.2,65054.89,28805.56,9455.61,108443.45,29325.76,25138.49,58389.11,125615.16,11424.27,44481.94,17338.98,31492.15,57387.55,35226.81,7593.21,132573.19,15053.98,10378.36,21921.5,19343.53,11291.84,46028.1,80975.13,31295.11,23905.86,21455.36,21950.5,55996.29,19673.45,35033.67,114436.36,6773.4,18152.29,23365.46,49199.52,27029.79,38404.33,86992.64,42240.9,77607.08
46,72742.1,65939.32,49592.76,13226.7,12051.23,15970.97,32830.26,15527.02,46710.11,14960.99,21319.47,62913.74,28320.5,9271.67,70593.1,18135.52,28112.64,66830.07,54397.96,26249.79,61883.0,7498.36,54794.83,54059.45,77211.06,34540.95,23311.42,27891.69,19195.41,9513.1,109888.3,128679.49,13705.08,62173.34,48001.42,22987.21,79394.17,22364.57,122853.43,9346.61,31092.57,7218.42,16260.68,48023.53,141443.19,28985.29,39420.6,82635.35,28375.85,110685.42,29440.02,25524.59
47,56474.54,82453.32,79802.21,74241.14,7992.37,12531.71,61643.01,17440.84,85931.98,71698.56,90691.72,16330.43,37031.33,83069.79,19749.54,30451.57,58351.93,59528.96,19139.29,17776.48,22006.63,23966.36,17203.49,63470.49,39901.23,79330.76,21697.69,34741.81,45598.16,34294.85,24596.43,59694.56,61379.19,18094.56,6492.68,83020.57,28756.49,16718.99,37728.67,17401.74,68861.05,44801.89,25280.37,66433.97,31683.92,45430.83,29198.84,23958.82,94070.07,37090.19,17946.98,75053.85
48,110327.8,20901.24,160663.77,91938.44,48797.84,63650.84,40760.42,22524.11,10122.68,17571.33,47453.44,100332.41,59988.37,51406.38,97222.44,43027.36,38625.94,154358.16,27333.82,45273.69,22574.28,50155.98,74711.76,15466.55,41669.47,91437.57,19446.11,14009.57,100145.2,15243.77,6957.07,133623.29,29874.72,32803.13,93294.53,79602.69,7261.62,21125.53,3757.93,67540.42,55432.68,48883.28,63790.38,56783.44,78685.49,63565.97,76037.2,40511.6,35475.35,19707.32,81851.32,43731.91
49,66560.68,108431.17,109659.76,53746.12,56416.97,4626.67,69611.73,12112.41,48698.22,57094.99,34887.45,133525.51,19611.25,33952.12,150797.23,47492.68,109151.8,101186.3,7944.44,79042.0,72635.67,29259.32,43097.87,34601.75,32439.35,43798.88,17875.2,9433.64,21952.99,53568.26,46869.19,77588.77,47505.57,11638.53,16956.65,42093.31,20796.05,18213.5,91246.79,29235.99,83695.95,27780.42,37145.24,7299.66,70043.67,85250.05,6449.36,42495.7,29377.55,131945.7,17965.31,122901.4
50,43719.92,24439.87,82656.61,102548.4,41442.33,76397.28,74325.58,7868.53,11941.84,6891.58,21523.34,17517.37,15902.2,16408.38,27356.91,28050.07,18158.5,28671.89,63556.14,84599.12,15990.75,50342.32,7504.86,33177.75,62001.21,89116.59,63665.33,29737.11,60347.78,32788.69,8376.71,6843.54,11784.04,38467.14,131903.93,24981.45,36394.74,17089.6,43331.47,20199.13,10878.78,98881.78,8396.65,50914.21,58138.36,51583.78,49517.29,52809.55,54723.34,25184.84,14603.87,35236.48
51,31495.1,15358.36,132427.79,41709.54,42954.86,44894.5,46438.94,52265.81,79253.34,15246.68,33002.04,11992.68,24771.93,114359.55,100906.12,89262.82,10505.32,196714.11,27675.75,51154.71,51739.15,44180.79,39260.4,8314.83,127654.57,138758.4,5137.98,6766.04,28645.28,65144.92,34924.36,50372.95,20027.89,40224.63,15789.74,48036.91,22994.41,37901.45,35972.61,54310.63,17404.26,80508.52,88227.83,72220.54,91553.72,48132.68,63053.83,50013.3,63404.79,134899.94,87469.36,18930.48
