product,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
11,141.63,35.37,139.39,117.34,146.33,52.64,145.13,183.22,169.21,49.78,28.85,56.6,29.32,283.11,304.57,81.99,297.4,26.03,271.31,126.51,122.81,198.31,156.38,255.96,81.78,73.13,150.3,189.53,176.61,51.14,204.64,274.26,100.28,543.0,201.77,295.56,263.26,267.15,168.83,456.46,226.66,217.89,305.08,129.1,39.72,81.05,167.58,68.79,240.54,184.64,204.89,320.74
12,141.61,150.77,75.92,61.21,89.91,136.99,47.16,271.78,194.85,20.89,131.6,39.06,158.56,168.29,147.32,204.32,162.67,25.64,196.11,7.71,473.3,40.81,91.33,168.25,50.4,234.91,275.89,112.28,179.82,44.15,146.84,79.39,30.27,252.06,30.36,177.65,160.65,104.46,165.74,54.46,116.16,96.26,245.63,30.78,221.64,90.05,171.04,155.27,285.64,151.7,42.1,35.57
13,39.65,5.24,109.92,119.85,48.12,56.0,48.41,53.87,124.78,57.25,23.0,121.13,65.85,32.72,84.89,43.05,69.32,74.37,38.29,36.04,68.84,21.19,152.24,96.34,105.26,40.94,107.41,13.7,10.92,51.06,102.81,146.36,91.75,112.44,32.04,167.75,58.81,110.3,47.92,80.47,236.51,15.07,90.56,39.25,76.54,44.09,124.1,64.32,45.21,92.42,153.88,41.66
14,128.45,74.83,222.98,510.46,19.15,405.38,318.24,46.25,463.78,300.8,556.89,43.73,234.19,339.86,178.08,315.03,99.43,268.77,269.91,103.04,290.14,242.78,983.15,230.84,120.89,74.81,37.41,275.06,273.01,636.65,94.22,125.56,239.94,66.38,44.83,170.92,29.29,181.62,334.71,49.12,251.25,85.48,370.21,297.32,163.41,19.52,48.93,349.17,511.4,111.6,57.17,11.12
15,85.7,46.74,209.6,245.1,82.87,17.24,406.3,190.55,61.69,76.38,46.54,20.88,66.86,374.09,43.58,18.48,255.91,37.78,302.35,149.81,184.64,55.68,119.51,50.42,83.07,73.57,108.92,201.06,324.07,123.87,150.29,69.07,191.33,266.58,246.66,60.39,117.81,56.54,44.76,70.54,337.23,17.64,184.24,12.32,145.21,62.8,47.86,120.51,160.28,42.42,29.51,9.11
16,124.56,454.86,119.89,520.87,675.08,199.03,603.31,494.98,189.81,378.24,298.42,1113.11,261.62,145.85,190.09,127.32,658.88,190.72,906.82,1866.34,546.67,231.29,305.97,125.61,310.65,886.61,516.12,395.13,412.02,824.36,202.57,199.77,34.86,845.54,598.87,538.19,317.37,714.48,69.15,453.67,180.55,220.58,268.04,167.83,530.47,247.09,202.1,375.83,658.79,366.64,131.36,370.25
17,91.13,13.83,55.12,157.53,187.77,61.97,549.58,39.55,70.95,91.73,187.94,181.15,125.24,85.87,193.31,279.32,77.31,274.07,87.79,385.66,122.43,86.63,94.47,35.44,63.74,381.46,206.68,74.36,275.03,281.08,151.33,52.03,65.17,220.75,75.66,352.59,78.55,35.31,427.38,202.68,104.96,107.32,116.86,27.57,116.81,505.36,328.27,155.2,182.8,933.12,786.08,58.93
18,135.45,331.89,262.09,310.0,349.01,375.46,166.75,228.13,50.14,280.06,206.68,13.62,288.96,182.02,51.0,200.61,112.45,228.81,670.93,186.66,213.49,131.98,270.85,385.74,665.75,36.66,56.79,652.13,625.38,208.45,219.95,516.76,217.3,217.71,145.24,248.28,267.58,46.76,18.2,141.28,314.36,494.47,36.65,250.35,179.04,505.85,238.62,130.59,12.34,233.52,151.19,57.65
19,346.15,190.43,447.4,227.54,582.97,99.3,147.14,595.56,439.46,546.21,6.85,303.09,365.81,403.7,224.09,415.89,260.46,99.59,721.73,466.16,398.73,488.88,272.57,64.93,356.43,254.84,42.16,421.8,281.51,57.3,222.55,343.1,389.8,579.07,19.68,737.76,50.91,266.03,176.91,463.23,101.99,34.12,645.04,314.09,655.09,426.92,179.41,455.05,759.17,395.38,287.87,789.31
20,90.54,100.32,102.38,37.53,157.65,170.47,223.75,232.02,171.97,241.21,229.68,52.24,68.51,211.32,444.21,75.74,129.59,459.55,228.65,119.86,103.89,382.69,161.56,169.8,114.58,33.5,151.22,69.38,148.8,132.07,233.62,44.42,161.38,329.9,31.41,124.7,189.58,421.13,137.91,329.03,174.2,26.84,175.35,425.07,27.09,277.45,259.86,166.47,318.97,162.02,21.56,270.99
21,41.19,74.71,118.74,5.41,62.35,13.51,158.12,66.04,129.36,137.17,264.68,76.31,57.51,465.73,249.51,246.64,103.68,210.98,173.75,93.83,64.64,148.86,203.97,96.11,96.74,176.52,214.14,34.96,123.93,214.54,183.7,194.11,109.71,91.1,117.03,27.13,67.3,81.33,220.91,37.07,17.36,209.19,201.65,57.68,181.4,72.78,193.42,52.78,27.88,206.37,15.62,73.77
22,17.53,32.4,13.29,189.72,77.77,56.83,134.83,127.25,52.89,96.48,14.54,184.34,153.38,160.59,117.25,17.76,103.2,66.83,46.53,70.56,26.87,43.52,50.2,171.93,176.4,72.24,27.67,3.17,67.88,86.75,89.8,32.22,71.7,108.19,149.87,84.58,419.73,15.46,148.06,114.64,44.04,57.96,144.95,72.26,46.83,164.15,29.04,64.08,177.85,67.39,48.45,55.44
23,81.95,158.26,253.14,80.42,272.43,99.36,130.76,97.96,40.22,410.8,105.49,288.37,183.29,398.24,54.51,266.72,350.72,36.98,427.4,89.09,344.13,381.47,107.5,68.02,132.92,12.53,152.43,60.64,29.73,213.27,94.36,46.12,245.73,119.18,151.35,7.9,145.12,157.79,8.18,105.43,252.23,36.52,28.0,92.48,155.65,82.71,42.78,89.05,263.55,90.91,155.05,11.16
24,187.67,374.56,184.03,146.56,343.99,97.36,198.73,111.75,109.55,148.11,65.77,461.62,146.01,59.09,192.14,330.14,69.58,77.18,252.86,295.86,197.75,88.57,157.88,504.13,89.29,294.36,269.12,278.75,88.72,422.06,134.93,125.71,150.56,429.22,118.56,155.21,435.39,385.22,67.38,104.4,72.42,437.54,125.8,162.19,202.51,62.75,287.09,148.92,63.34,140.28,282.7,492.96
25,307.67,91.9,435.99,177.38,294.91,156.71,237.23,158.44,127.35,789.9,127.54,358.65,23.97,570.61,331.46,318.82,112.04,46.1,136.64,123.86,315.11,238.48,41.37,589.14,274.32,221.68,144.56,90.87,169.68,144.59,84.9,103.22,278.38,247.55,225.98,177.58,166.68,258.73,209.74,199.21,234.63,106.98,63.65,123.67,180.85,161.52,73.92,173.82,205.67,256.1,569.36,195.58
26,49.17,39.97,81.65,173.82,160.61,115.85,53.35,100.52,184.84,63.13,116.0,156.92,143.6,153.74,23.6,33.76,91.62,23.15,36.1,57.21,62.48,11.32,144.57,57.36,95.6,79.3,99.84,125.29,140.57,28.53,115.06,28.48,119.26,78.2,32.13,99.59,31.33,51.65,103.57,5.76,113.06,32.75,6.18,21.86,111.27,155.24,53.38,16.77,49.27,84.94,95.68,56.59
27,542.76,486.25,541.96,590.19,562.33,688.69,689.67,150.03,169.8,258.07,395.04,432.21,720.54,659.54,657.93,234.67,621.41,309.08,204.65,473.13,368.84,337.65,494.73,242.25,567.78,828.49,290.36,658.02,504.66,643.04,267.56,138.06,322.4,872.11,651.01,562.5,209.18,227.19,135.83,853.76,280.26,1581.67,258.41,315.93,431.51,706.69,1330.8,338.03,713.8,442.76,60.15,648.98
28,65.7,70.63,43.01,208.26,120.29,53.63,25.73,140.27,238.56,199.2,183.38,157.74,135.91,87.37,83.11,193.19,18.92,13.81,8.74,125.76,51.22,54.37,49.55,87.66,269.72,159.68,151.75,149.08,69.22,109.12,64.57,90.06,115.4,51.7,106.58,68.07,67.96,137.47,18.48,160.46,169.58,273.96,41.61,97.87,15.67,96.03,66.61,145.5,16.5,52.74,108.44,72.42
29,436.23,200.63,261.13,196.99,209.63,176.58,22.36,338.36,458.85,76.78,245.47,290.44,41.08,204.8,115.71,279.46,181.02,553.63,277.75,113.09,121.46,117.53,424.88,191.89,424.6,215.17,97.81,124.8,106.0,584.89,120.06,339.58,85.59,163.25,156.09,699.88,245.54,206.3,99.3,129.09,407.13,264.64,91.7,32.58,233.61,436.12,76.41,32.51,73.8,394.73,356.09,560.83
30,193.28,134.59,245.41,99.39,90.15,238.65,40.3,231.45,173.75,69.68,254.54,62.33,133.7,122.74,92.97,181.54,116.1,78.79,197.83,46.4,35.85,270.97,151.74,154.51,77.04,98.53,85.31,139.66,49.75,206.26,101.88,121.74,115.16,41.94,99.3,76.96,161.87,141.2,108.7,17.47,227.05,232.44,58.22,63.19,263.03,116.55,35.15,154.58,64.39,223.97,164.73,10.33
31,234.08,245.78,157.99,116.95,159.81,278.3,236.39,198.76,307.7,228.77,73.79,189.57,162.79,71.11,208.65,668.51,213.62,52.66,303.8,109.03,222.47,208.9,155.42,359.44,230.49,122.45,227.43,267.52,162.61,251.71,136.97,248.87,51.12,227.95,97.86,313.08,308.85,668.02,156.87,226.11,159.61,121.64,101.68,33.29,339.17,90.07,149.45,216.45,209.7,223.55,99.04,239.86
32,335.72,212.9,370.88,479.44,290.22,58.48,90.18,850.14,307.46,335.92,108.47,292.86,107.99,164.02,473.12,80.98,543.28,432.71,212.4,387.82,317.93,578.26,595.95,12.88,272.62,659.75,261.78,250.92,87.99,168.7,575.5,382.88,92.46,560.92,255.46,585.61,503.63,283.69,292.23,192.56,231.62,250.51,126.59,218.48,497.38,121.18,466.68,66.52,82.61,312.51,262.72,275.06
33,123.38,40.24,23.8,129.23,8.79,6.82,46.07,49.97,41.58,31.83,82.62,54.44,20.11,75.19,85.09,100.42,54.85,38.82,65.41,63.0,40.2,48.24,29.67,61.74,70.22,127.71,237.09,36.45,68.59,90.29,115.61,72.71,84.7,149.08,28.65,39.87,32.87,39.3,103.94,35.36,119.55,152.6,25.42,104.67,56.77,30.12,172.18,67.47,69.56,17.91,99.66,100.65
34,383.62,127.51,178.07,140.96,104.7,159.33,97.25,90.4,334.98,88.22,5.53,113.15,153.05,94.52,311.35,39.39,191.45,61.64,124.43,218.8,190.22,205.25,111.44,100.29,129.17,107.19,157.93,321.96,98.75,296.28,138.55,126.79,173.31,148.59,57.35,35.7,535.13,280.08,49.07,338.09,181.65,38.81,126.62,289.84,347.63,45.12,302.21,72.4,391.91,140.88,134.73,263.36
35,289.59,62.8,52.89,54.46,285.01,151.57,126.37,111.21,377.2,50.28,649.29,14.93,206.09,136.27,334.16,57.58,74.34,36.79,42.99,27.82,125.89,299.36,28.05,55.88,129.46,61.23,687.41,301.1,219.95,112.17,139.75,59.94,210.6,389.67,309.28,499.18,190.91,426.12,139.53,37.09,147.87,115.78,113.49,26.05,297.15,346.57,118.98,56.75,116.21,395.74,113.2,31.6
36,103.67,48.64,87.95,155.39,83.95,38.85,42.21,425.35,189.38,223.49,70.85,97.32,308.27,90.9,81.67,173.03,1.14,167.6,245.47,111.48,238.27,42.53,94.56,95.42,60.1,312.03,148.56,49.39,159.41,221.24,83.79,347.41,195.55,146.78,78.8,59.16,134.91,182.34,757.64,255.96,162.63,246.84,155.31,138.8,167.06,186.89,303.74,304.38,289.71,198.62,323.11,216.75
37,84.98,332.08,58.9,311.45,199.58,145.08,72.66,265.66,97.21,42.26,141.82,74.55,374.21,331.91,9.45,83.44,54.48,106.86,86.85,146.74,210.56,62.87,163.72,111.52,70.82,137.32,117.39,12.58,26.41,335.79,82.03,35.6,49.96,396.68,273.42,239.31,88.17,42.3,112.28,129.93,191.0,61.22,84.56,246.91,102.72,528.56,248.34,127.06,36.3,137.32,173.86,53.98
38,673.88,232.08,425.18,205.56,711.3,99.27,206.14,67.95,141.64,37.12,228.97,78.06,255.03,249.28,119.16,146.18,316.51,351.27,427.82,117.57,75.08,347.67,471.89,188.67,507.37,203.1,52.07,68.07,157.58,76.52,417.02,237.07,242.55,291.92,326.56,213.15,736.08,65.52,771.07,786.23,410.73,409.85,402.3,407.74,305.24,300.12,447.28,649.81,208.36,301.0,1135.41,495.96
39,1404.5,302.62,520.87,426.97,290.14,109.05,133.42,442.34,205.79,283.81,36.8,164.77,877.44,183.63,580.03,96.81,190.94,473.5,197.27,131.2,209.73,329.08,383.81,426.59,582.79,231.77,69.3,144.85,168.47,82.55,86.01,144.2,59.35,223.24,390.62,434.78,199.98,118.56,156.41,257.76,168.52,248.34,232.68,276.64,182.95,711.23,137.25,251.41,448.98,77.79,122.15,317.46
40,110.1,263.17,109.2,203.0,147.76,172.18,216.98,98.22,188.95,167.75,201.23,63.89,263.66,223.57,240.46,184.7,257.87,197.92,188.68,182.32,200.43,263.04,442.83,451.8,74.59,338.26,328.34,215.3,336.44,276.74,155.77,206.87,123.71,30.59,267.05,167.09,274.35,181.62,158.99,79.66,62.78,105.78,61.27,134.84,135.44,207.28,263.04,182.9,159.12,457.8,50.96,104.53
41,253.22,301.05,227.67,91.63,183.45,44.16,360.71,283.35,112.2,104.82,73.3,80.57,84.45,54.78,192.57,27.49,226.16,37.01,397.11,307.4,132.25,22.79,100.05,334.8,80.14,75.91,81.24,219.32,84.67,84.08,340.89,81.83,237.79,126.28,53.44,283.48,47.77,379.09,137.31,204.05,98.69,108.3,149.66,15.01,248.49,290.27,33.48,156.34,28.61,272.5,55.52,90.87
42,251.61,239.06,237.19,40.31,190.32,95.96,55.8,155.42,112.47,79.15,32.34,144.15,57.36,62.31,51.57,150.48,86.53,171.16,28.84,179.79,176.3,111.32,86.53,93.32,49.43,107.09,20.99,111.92,72.0,112.76,322.42,45.87,145.98,68.05,161.87,66.34,171.15,171.24,50.62,38.48,342.27,92.84,116.32,145.72,245.3,77.29,71.1,25.57,44.66,178.72,210.89,177.3
43,141.59,114.16,102.8,147.39,49.46,327.27,54.18,318.73,226.43,316.75,27.05,103.97,125.26,55.27,64.05,75.08,165.91,32.86,218.88,90.45,84.24,121.16,224.14,151.15,25.29,187.02,196.3,133.38,198.65,70.35,113.11,134.76,60.97,78.94,172.05,207.22,67.48,33.27,98.57,126.82,246.75,100.17,120.28,51.48,37.25,119.13,86.75,176.4,67.33,160.95,50.97,99.82
44,225.8,53.26,357.23,355.68,375.22,387.77,214.97,535.66,629.35,189.95,184.73,99.2,145.61,310.97,38.37,246.64,488.85,463.13,412.12,339.69,152.64,73.16,367.89,679.62,250.32,186.93,382.55,563.35,432.72,24.41,271.49,178.09,336.02,258.45,16.05,30.42,504.14,106.69,366.55,539.23,271.71,277.85,506.15,407.48,256.35,264.92,148.33,421.48,335.26,468.2,456.05,458.88
45,79.55,263.5,237.24,205.44,9.69,81.55,108.18,28.85,158.91,168.04,83.8,259.59,112.16,161.0,76.55,301.0,347.79,54.48,119.45,72.69,110.03,92.11,19.31,113.06,43.08,64.28,249.14,51.55,112.39,146.66,263.57,68.02,15.28,185.66,170.84,82.63,93.23,76.72,106.79,163.35,34.56,97.85,56.57,154.22,130.03,69.48,81.11,163.33,164.64,42.37,169.31,160.12
46,87.4,572.16,48.7,173.38,230.83,82.33,403.09,135.49,137.1,199.05,58.38,467.66,290.1,249.8,468.13,372.11,188.24,199.24,116.76,118.75,246.08,314.32,138.93,286.0,366.79,238.6,229.24,345.36,170.92,384.26,228.88,195.29,304.41,188.44,263.43,238.03,89.58,151.99,244.69,107.29,31.03,145.86,369.32,48.0,323.98,382.47,199.86,72.66,128.3,231.01,264.93,130.63
47,61.87,59.5,108.38,16.3,23.11,216.83,108.34,102.31,69.76,50.28,181.03,15.65,22.7,69.22,107.28,60.22,54.45,158.62,67.88,169.93,78.1,74.67,96.31,27.18,164.87,46.07,220.44,32.47,37.8,58.91,101.35,67.08,86.4,115.76,192.24,40.34,43.46,49.58,80.92,45.76,71.37,167.84,22.39,88.5,44.73,118.88,31.37,10.29,242.99,161.01,58.0,68.76
48,132.64,164.11,28.78,162.3,29.08,82.64,94.75,212.07,148.76,373.65,121.25,12.58,264.29,6.4,67.38,240.85,288.64,71.34,432.67,112.78,27.33,96.57,192.73,31.65,168.58,62.61,144.9,192.46,192.43,153.9,167.6,80.0,400.52,61.46,104.28,110.73,97.34,119.36,153.57,165.76,550.46,205.44,46.58,187.15,25.86,403.79,58.43,289.08,101.31,117.66,285.21,503.33
49,32.94,62.95,293.93,113.22,90.85,21.57,164.81,49.62,62.59,116.7,87.28,35.07,35.2,223.87,19.66,19.24,72.32,54.11,125.84,162.3,109.57,10.65,4.91,55.08,56.41,132.2,45.15,39.14,42.47,173.1,231.39,56.95,25.0,114.33,141.73,145.81,129.68,19.07,19.07,21.39,99.94,117.21,152.95,152.88,85.48,108.61,80.86,33.19,100.05,69.8,108.45,80.75
50,76.52,112.73,88.46,67.24,97.12,56.84,30.4,144.3,118.17,116.86,19.95,31.52,47.83,196.2,276.29,114.53,76.58,56.65,53.06,164.95,271.07,59.99,26.44,84.12,64.91,55.26,20.7,23.68,84.76,94.09,138.68,89.75,58.29,56.79,108.12,103.44,30.74,75.7,90.9,7.35,34.24,200.03,200.79,70.53,136.63,38.74,140.09,45.93,26.29,78.72,45.92,57.47
51,793.62,262.83,224.27,206.29,238.98,237.78,213.0,445.17,132.61,131.8,158.84,24.78,392.31,281.96,157.88,218.53,104.77,82.36,156.51,190.6,74.5,138.97,719.91,6.1,322.26,66.89,99.24,270.33,210.01,190.52,266.68,398.71,73.19,403.64,576.3,350.73,25.78,394.62,169.83,477.9,63.44,192.11,339.41,420.07,739.84,111.63,318.27,71.26,61.86,332.07,126.59,120.34
52,103.19,52.0,31.79,66.67,26.8,24.06,15.4,39.98,12.56,2.97,59.35,17.78,8.66,64.9,14.01,46.27,78.46,10.99,7.96,32.56,30.32,10.38,106.09,19.77,60.65,19.61,77.47,16.81,17.43,51.32,37.86,36.49,60.78,82.21,18.65,51.45,147.57,73.01,27.91,31.48,76.01,37.89,18.06,30.46,9.09,21.49,37.14,53.98,22.68,66.99,51.28,44.53
53,418.14,198.7,128.52,262.99,405.61,165.72,531.8,121.94,43.97,84.04,111.65,16.45,163.72,286.72,203.66,179.63,373.61,234.5,257.42,266.27,101.0,21.31,106.91,208.0,266.56,177.83,255.45,203.63,379.23,83.54,242.91,229.91,91.96,158.49,468.08,82.6,237.71,158.21,627.0,215.23,244.14,157.09,120.89,189.19,245.82,187.53,103.63,91.52,193.84,170.93,188.82,33.93
54,30.64,55.58,103.81,179.77,86.98,155.11,109.67,78.27,35.76,91.41,13.41,223.67,120.1,104.54,101.06,24.5,57.86,107.71,35.63,49.55,153.6,315.53,201.15,61.95,52.07,93.58,181.34,131.46,20.86,187.97,96.05,142.47,147.69,136.27,74.95,131.96,98.21,98.26,181.97,145.06,128.62,54.97,62.06,120.13,184.29,72.79,108.59,69.37,53.18,95.96,39.51,114.64
55,401.24,108.31,188.41,684.58,110.07,107.0,95.95,124.7,341.63,196.17,238.78,230.51,100.6,829.45,719.6,94.02,155.24,706.56,121.96,236.31,169.66,200.04,438.67,210.28,330.72,395.04,18.18,101.84,28.04,96.06,419.18,27.19,657.31,57.94,60.54,543.79,383.75,241.02,133.26,242.42,372.15,125.1,124.98,74.19,146.74,459.23,268.56,356.89,190.2,608.26,555.86,663.5
56,304.28,42.01,53.58,307.48,152.5,147.72,250.63,89.85,338.31,114.9,110.32,414.84,213.6,72.68,64.92,345.52,112.25,12.08,191.08,206.27,120.48,157.85,195.03,116.61,140.68,322.98,231.0,125.85,150.16,17.05,124.24,157.09,61.11,253.99,57.21,111.35,50.79,125.19,151.66,232.15,25.33,51.68,177.84,117.73,50.15,178.74,126.83,131.26,72.46,82.46,94.97,110.59
57,125.76,303.91,289.26,169.76,192.43,356.71,102.6,181.86,427.35,196.77,153.17,137.97,116.75,122.92,97.63,138.8,79.95,366.75,211.69,140.2,412.57,78.59,119.03,120.05,46.03,219.67,81.49,80.26,174.72,151.74,97.49,94.21,301.93,125.4,55.76,398.13,278.76,103.06,176.21,209.83,37.52,217.39,235.08,109.74,347.08,89.58,242.48,255.54,246.11,184.34,364.91,243.84
58,88.93,61.25,31.83,122.71,60.3,227.08,44.1,31.67,39.28,69.15,69.78,133.88,45.1,78.91,79.54,132.0,153.65,134.13,132.48,211.19,114.92,232.52,99.14,76.72,166.14,112.39,62.93,8.3,191.45,55.8,205.92,269.12,105.63,31.85,16.96,31.87,132.38,183.59,79.6,110.84,59.74,32.77,116.86,33.16,84.1,49.95,58.93,136.4,58.1,190.51,177.85,162.02
59,691.9,506.35,633.11,169.05,59.42,406.9,358.28,413.41,421.0,109.1,274.03,146.71,125.04,210.6,563.71,470.4,274.56,619.55,772.66,121.93,242.55,632.34,54.55,872.61,498.49,81.22,118.09,310.31,414.06,464.15,134.01,567.7,448.7,259.0,499.23,555.38,121.61,738.05,452.81,349.68,522.25,267.62,787.34,232.33,674.74,570.45,438.2,694.73,100.51,418.94,381.29,19.42
60,94.58,299.27,174.77,178.69,117.41,255.26,183.88,136.93,180.51,151.98,101.94,65.61,31.73,150.03,49.84,90.51,90.13,38.82,115.19,235.97,156.9,366.48,209.29,244.63,173.18,87.21,228.1,138.22,72.82,72.71,112.79,99.96,64.89,96.58,77.3,172.64,135.81,213.73,95.86,131.25,194.87,17.49,75.11,217.91,111.15,175.7,63.62,337.67,129.77,213.25,61.85,153.48
61,53.63,116.17,12.14,75.18,15.14,66.75,84.97,19.75,63.2,178.72,48.13,107.03,28.57,115.36,59.65,225.11,37.59,24.93,102.25,98.18,95.11,69.68,40.68,115.15,146.14,38.85,84.15,151.26,93.42,92.82,73.59,44.24,32.57,91.98,9.21,44.3,90.67,15.55,27.57,24.81,137.07,106.63,140.69,22.41,93.08,85.64,22.92,121.01,67.47,17.82,61.04,71.35
62,238.91,215.25,37.77,231.2,384.68,303.63,470.48,470.93,75.82,130.3,167.16,233.66,719.85,90.57,198.02,342.12,38.5,322.28,21.78,114.7,133.45,225.49,55.5,204.88,674.58,132.3,173.09,310.68,232.29,71.63,208.59,92.22,183.34,199.97,242.06,115.71,169.23,198.5,241.66,28.39,292.04,63.11,160.02,228.57,126.81,272.69,87.38,209.41,99.67,86.9,61.8,128.38
63,306.38,130.0,457.21,562.04,244.41,150.56,56.87,287.56,122.01,194.53,33.6,44.07,178.21,70.66,348.36,40.18,475.93,548.94,243.37,320.81,424.25,525.88,172.06,542.75,195.62,184.9,233.5,140.63,77.33,530.58,210.91,57.84,682.4,334.48,80.65,284.29,218.4,316.97,234.78,241.13,205.89,361.21,235.19,195.46,434.5,272.41,499.7,190.6,39.97,623.22,180.28,439.3
64,139.02,86.77,131.82,133.62,154.54,121.56,114.64,114.31,60.38,30.46,9.3,54.4,24.17,50.11,130.23,19.88,142.34,94.35,67.02,97.8,17.37,106.08,170.18,89.42,41.4,125.98,123.31,98.71,114.1,31.19,53.8,76.49,41.19,48.88,149.69,42.7,61.92,55.48,95.33,105.45,125.86,197.22,190.45,172.03,83.22,62.7,81.74,317.78,52.73,100.16,240.83,112.88
